_id,analysis_report,reference,commit,commit_date,repository,checked,filename,filehash,indicators/0/name,indicators/0/occurrences,debts/0/name,debts/0/value,debts/1/name,debts/1/value,indicators/1/name,indicators/1/occurrences,indicators/2/name,indicators/2/occurrences,debts/2/name,debts/2/value,debts/3/name,debts/3/value,indicators/3/name,indicators/3/occurrences,indicators/4/name,indicators/4/occurrences,debts/4/name,debts/4/value,indicators/5/name,indicators/5/occurrences,indicators/6/name,indicators/6/occurrences,indicators/7/name,indicators/7/occurrences,indicators/8/name,indicators/8/occurrences,debts/5/name,debts/5/value,debts/6/name,debts/6/value,indicators/9/name,indicators/9/occurrences
5a9db235b8a9f960ba240cc6,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/ant/types/selectors/SelectorScanner.java,NumberLong(293031763),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(2),UNKNOWN_DEBT,NumberInt(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240cc7,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/ant/util/KeepAliveInputStream.java,NumberLong(3245777971),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(1),CODE_DEBT,NumberInt(0),UNKNOWN_DEBT,NumberInt(0),COMMENT_ANALYSIS_CODE_DEBT,NumberInt(1),,,,,,,,,,,,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240cc8,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/bzip2/BlockSort.java,NumberLong(3250104244),COMMENT_ANALYSIS_DEFECT_DEBT,NumberInt(1),CODE_DEBT,NumberInt(0),UNKNOWN_DEBT,NumberInt(0),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(8),COMPLEX_METHOD,NumberInt(5),DEFECT_DEBT,NumberInt(0),DESIGN_DEBT,NumberInt(0),COMMENT_ANALYSIS_CODE_DEBT,NumberInt(1),BRAIN_METHOD,NumberInt(5),,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240cc9,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/ant/taskdefs/BuildNumber.java,NumberLong(3190402683),COMMENT_ANALYSIS_DEFECT_DEBT,NumberInt(1),DEFECT_DEBT,NumberInt(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240cca,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/ant/BuildException.java,NumberLong(4043074914),COMMENT_ANALYSIS_DEFECT_DEBT,NumberInt(5),CODE_DEBT,NumberInt(0),UNKNOWN_DEBT,NumberInt(0),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(8),COMMENT_ANALYSIS_CODE_DEBT,NumberInt(1),DEFECT_DEBT,NumberInt(0),,,,,,,,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240ccb,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/ant/taskdefs/Truncate.java,NumberLong(3073914654),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(2),UNKNOWN_DEBT,NumberInt(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240ccc,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/ant/util/depend/AbstractAnalyzer.java,NumberLong(810775360),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(6),UNKNOWN_DEBT,NumberInt(0),ARCHITECTURE_DEBT,NumberInt(0),COMMENT_ANALYSIS_BUILD_DEBT,NumberInt(3),COMMENT_ANALYSIS_ARCHITECTURE_DEBT,NumberInt(3),BUILD_DEBT,NumberInt(0),,,,,,,,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240ccd,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/tests/junit/org/apache/tools/ant/util/DateUtilsTest.java,NumberLong(1467106829),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(1),UNKNOWN_DEBT,NumberInt(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240cce,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/ant/types/selectors/BaseExtendSelector.java,NumberLong(2448499934),COMMENT_ANALYSIS_DEFECT_DEBT,NumberInt(3),UNKNOWN_DEBT,NumberInt(0),DEFECT_DEBT,NumberInt(0),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(2),,,,,,,,,,,,,,,,,,,,,,,,,,
5a9db235b8a9f960ba240ccf,5a9db235b8a9f960ba240c53,rel/1.9.0,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06T04:20:43.000+0000,5a9494c6b8a9f924e3b18e1f,false,src/main/org/apache/tools/ant/taskdefs/optional/windows/Attrib.java,NumberLong(1466387717),COMMENT_ANALYSIS_UNKNOWN_DEBT,NumberInt(1),UNKNOWN_DEBT,NumberInt(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
